geoid,county_name,year,labor_force,employed,unemployed,unemployment_rate
55001,Adams County,2023,,,,
55003,Ashland County,2023,,,,
55005,Barron County,2023,,,,
55007,Bayfield County,2023,,,,
55009,Brown County,2023,,,,
55011,Buffalo County,2023,,,,
55013,Burnett County,2023,,,,
55015,Calumet County,2023,,,,
55017,Chippewa County,2023,,,,
55019,Clark County,2023,,,,
55021,Columbia County,2023,,,,
55023,Crawford County,2023,,,,
55025,Dane County,2023,,,,
55027,Dodge County,2023,,,,
55029,Door County,2023,,,,
55031,Douglas County,2023,,,,
55033,Dunn County,2023,,,,
55035,Eau Claire County,2023,,,,
55037,Florence County,2023,,,,
55039,Fond du Lac County,2023,,,,
55041,Forest County,2023,,,,
55043,Grant County,2023,,,,
55045,Green County,2023,,,,
55047,Green Lake County,2023,,,,
55049,Iowa County,2023,,,,
55051,Iron County,2023,,,,
55053,Jackson County,2023,,,,
55055,Jefferson County,2023,,,,
55057,Juneau County,2023,,,,
55059,Kenosha County,2023,,,,
55061,Kewaunee County,2023,,,,
55063,La Crosse County,2023,,,,
55065,Lafayette County,2023,,,,
55067,Langlade County,2023,,,,
55069,Lincoln County,2023,,,,
55071,Manitowoc County,2023,,,,
55073,Marathon County,2023,,,,
55075,Marinette County,2023,,,,
55077,Marquette County,2023,,,,
55078,Menominee County,2023,,,,
55079,Milwaukee County,2023,,,,
55081,Monroe County,2023,,,,
55083,Oconto County,2023,,,,
55085,Oneida County,2023,,,,
55087,Outagamie County,2023,,,,
55089,Ozaukee County,2023,,,,
55091,Pepin County,2023,,,,
55093,Pierce County,2023,,,,
55095,Polk County,2023,,,,
55097,Portage County,2023,,,,
55099,Price County,2023,,,,
55101,Racine County,2023,,,,
55103,Richland County,2023,,,,
55105,Rock County,2023,,,,
55107,Rusk County,2023,,,,
55109,St. Croix County,2023,,,,
55111,Sauk County,2023,,,,
55113,Sawyer County,2023,,,,
55115,Shawano County,2023,,,,
55117,Sheboygan County,2023,,,,
55119,Taylor County,2023,,,,
55121,Trempealeau County,2023,,,,
55123,Vernon County,2023,,,,
55125,Vilas County,2023,,,,
55127,Walworth County,2023,,,,
55129,Washburn County,2023,,,,
55131,Washington County,2023,,,,
55133,Waukesha County,2023,,,,
55135,Waupaca County,2023,,,,
55137,Waushara County,2023,,,,
55139,Winnebago County,2023,,,,
55141,Wood County,2023,,,,
